Sr. No.,EmpID,Attendance Code,FName,Branch Code,Department Name,Division Name,Grade Code,Designation Name,Direct/Indirect,Roster,Attendance Date,In Time,Out Time,Total Hours,OT Hours,Late Hours,Application Status,Final Status,Attendance Type
27,34115,34115,Amber Williams,P003,Quality,Warranty,C2,Executive,t,Holiday,07/03/2025,07:40 AM,08:46 PM,8.25,1.14,0.65,,Leave,Half Day
28,35292,35292,Joseph Brown,P003,Finance,Recruitment,C5,Manager,t,Weekend,24/02/2025,04:23 PM,08:42 AM,7.01,1.24,0.93,,Leave,Leave
29,36449,36449,Lisa Smith,P001,Finance,Support,C3,Executive,t,Working Day (G),24/03/2025,06:42 AM,03:15 AM,7.4,0.2,0.55,,Absent Half Day,Full Day
30,39072,39072,Amanda Cobb,P004,HR,Accounting,C5,Engineer,t,Holiday,25/03/2025,01:05 AM,11:41 AM,8.73,0.93,0.45,,Present,Full Day
31,45597,45597,Michael Aguilar,P002,Quality,Accounting,C3,Supervisor,t,Working Day (G),10/03/2025,08:04 AM,01:08 PM,8.85,0.58,0.93,,Leave,Leave
32,46119,46119,Tracy Wilson,P001,Production,Warranty,C1,Executive,t,Holiday,25/03/2025,01:42 AM,04:27 AM,6.12,1.86,0.92,,Present,Half Day
33,38146,38146,Donald Mooney,P002,Production,Recruitment,C1,Supervisor,t,Weekend,23/03/2025,11:34 AM,07:38 AM,8.33,1.67,0.36,,Absent,Half Day
34,47694,47694,James Marshall,P003,HR,Accounting,C1,Engineer,t,Working Day (G),11/03/2025,10:33 PM,06:16 PM,8.88,1.27,0.78,,Present,Full Day
35,49279,49279,Keith Tucker,P004,Production,Recruitment,C5,Manager,t,Working Day (G),14/03/2025,05:47 PM,10:35 PM,8.48,0.79,0.36,,Leave,Leave
36,49534,49534,Veronica Ortiz,P005,Finance,Manufacturing,C1,Manager,t,Working Day (G),13/03/2025,06:54 AM,02:51 PM,7.35,0.55,0.51,,Absent,Leave
37,47221,47221,Jennifer Edwards,P004,Finance,Support,C5,Supervisor,t,Holiday,20/03/2025,09:30 AM,01:23 AM,6.15,0.95,0.62,,Leave,Leave
38,36595,36595,Laura Richards,P003,Quality,Warranty,C3,DM,t,Weekend,01/03/2025,01:53 AM,08:57 AM,8.73,0.12,0.2,,Present,Half Day
39,47553,47553,Amy Daniels,P003,Production,Recruitment,C1,Manager,t,Working Day (G),14/03/2025,11:57 AM,08:35 AM,7.35,0.44,0.41,,Absent,Leave
40,40688,40688,Ashley Orozco,P005,Finance,Warranty,C1,Engineer,t,Working Day (G),04/03/2025,10:30 AM,07:17 AM,6.04,1.46,0.24,,Present,Leave
41,36311,36311,Christopher Bowman,P003,Production,Support,C2,DM,t,Weekend,13/03/2025,10:15 PM,10:38 AM,8.01,1.14,0.09,,Leave,Half Day
42,35766,35766,William Hahn,P002,HR,Warranty,C4,Manager,t,Weekend,03/03/2025,08:12 PM,12:59 AM,7.93,0.12,0.23,,Absent Half Day,Full Day
43,40215,40215,Marie Brown,P001,HR,Manufacturing,C4,Executive,t,Holiday,17/03/2025,07:00 PM,02:01 AM,7.56,0.05,0.79,,Absent Half Day,Full Day
44,44825,44825,Ashley Johnson,P005,Production,Recruitment,C2,Executive,t,Holiday,02/03/2025,01:40 AM,03:52 PM,6.72,0.42,0.45,,Present,Half Day
45,48604,48604,Sarah Perez,P005,HR,Support,C2,Manager,t,Working Day (G),08/03/2025,05:51 AM,03:03 AM,6.95,0.15,0.87,,Leave,Half Day
46,41028,41028,Chad Gonzalez,P005,Quality,Recruitment,C1,Manager,t,Holiday,24/02/2025,07:20 AM,11:44 AM,8.94,1.04,0.51,,Leave,Leave
47,34538,34538,Carla Morgan,P003,HR,Accounting,C3,Engineer,t,Weekend,11/03/2025,04:00 AM,06:38 PM,8.3,1.35,0.43,,Absent,Full Day
48,35004,35004,Jorge Harris,P004,Production,Recruitment,C5,DM,t,Weekend,25/02/2025,08:17 AM,09:36 PM,7.13,0.5,0.95,,Leave,Leave
49,39434,39434,Audrey Barnett,P005,Finance,Support,C4,Supervisor,t,Working Day (G),18/03/2025,01:39 PM,10:31 AM,6.1,1.37,0.18,,Absent Half Day,Half Day
50,47405,47405,Sheryl Mahoney,P001,Quality,Warranty,C4,DM,t,Weekend,14/03/2025,12:56 PM,06:17 AM,6.34,1.71,1.0,,Leave,Leave
51,36349,36349,Monica Morris,P003,HR,Support,C2,Supervisor,t,Weekend,27/02/2025,10:17 PM,01:35 PM,8.05,0.59,0.11,,Present,Full Day
52,33605,33605,Brad Wall,P005,Finance,Support,C1,Manager,t,Weekend,08/03/2025,09:15 PM,09:31 PM,7.07,0.19,0.19,,Absent,Full Day
53,40419,40419,Gerald Gonzales,P005,Finance,Recruitment,C1,Manager,t,Holiday,14/03/2025,08:06 AM,09:51 AM,6.27,0.99,0.54,,Absent,Full Day
54,43614,43614,Katie Baker,P004,Production,Accounting,C2,Engineer,t,Holiday,09/03/2025,12:07 AM,10:26 AM,7.74,0.35,0.98,,Leave,Full Day
55,36574,36574,Tracy Chambers,P003,IT,Accounting,C1,Supervisor,t,Working Day (G),21/03/2025,11:59 AM,12:39 PM,8.2,0.99,0.92,,Present,Leave
56,44514,44514,Pamela Scott,P001,Finance,Warranty,C3,Executive,t,Working Day (G),21/03/2025,05:49 AM,12:17 PM,8.04,1.55,0.45,,Absent,Leave
57,30669,30669,John Jacobs,P005,Finance,Warranty,C5,Manager,t,Working Day (G),21/03/2025,04:07 PM,05:09 AM,7.67,0.99,0.12,,Leave,Leave
58,34307,34307,Whitney Roth,P003,Finance,Warranty,C4,Executive,t,Weekend,14/03/2025,12:52 PM,10:51 PM,7.74,0.41,0.82,,Absent,Half Day
59,36996,36996,Allison Black,P002,HR,Support,C3,Manager,t,Holiday,04/03/2025,02:15 AM,05:42 PM,8.26,1.94,0.22,,Present,Leave
60,31337,31337,Dawn Proctor,P001,Production,Manufacturing,C1,Engineer,t,Weekend,20/03/2025,07:32 PM,06:12 AM,7.15,0.38,0.84,,Absent,Leave
61,49987,49987,Steven Sandoval,P002,Finance,Manufacturing,C5,Supervisor,t,Weekend,11/03/2025,10:59 AM,03:11 AM,7.7,1.01,0.32,,Absent,Leave
62,49017,49017,Daniel Hall,P005,Production,Warranty,C4,Supervisor,t,Holiday,07/03/2025,03:14 PM,03:39 AM,8.24,1.01,0.46,,Absent,Leave
63,39762,39762,Christopher Greene,P002,HR,Recruitment,C1,DM,t,Working Day (G),28/02/2025,02:14 AM,07:51 PM,8.96,1.41,0.51,,Absent,Full Day
64,43671,43671,Angela Flores,P002,Production,Accounting,C5,Executive,t,Weekend,07/03/2025,08:00 AM,03:02 AM,8.46,0.12,0.41,,Leave,Half Day
65,49619,49619,Charles Salinas,P005,Quality,Manufacturing,C5,Manager,t,Weekend,25/03/2025,02:08 PM,04:30 AM,6.96,1.37,0.77,,Absent Half Day,Half Day
66,43130,43130,Tammy Robinson,P004,Finance,Accounting,C2,DM,t,Working Day (G),01/03/2025,11:45 PM,05:11 PM,8.67,0.09,0.7,,Absent,Leave
67,49671,49671,Linda Jackson,P005,Quality,Support,C3,Manager,t,Weekend,14/03/2025,12:51 AM,08:08 PM,8.88,1.37,0.98,,Absent,Leave
68,31351,31351,Edward Cox,P001,IT,Warranty,C5,Engineer,t,Holiday,04/03/2025,03:15 AM,10:13 AM,8.56,0.37,0.54,,Leave,Leave
69,39263,39263,Louis Moore,P002,Finance,Manufacturing,C5,DM,t,Holiday,02/03/2025,09:55 AM,08:43 AM,6.94,0.54,0.11,,Absent,Leave
70,43722,43722,Christie Watson,P002,Production,Accounting,C1,Manager,t,Weekend,25/02/2025,12:35 AM,05:14 PM,7.41,0.38,0.3,,Absent,Full Day
71,37683,37683,Julia Brown,P005,Production,Recruitment,C4,Engineer,t,Holiday,11/03/2025,10:07 AM,10:44 PM,8.82,0.43,0.1,,Absent,Full Day
72,36330,36330,John Bryant,P004,Finance,Manufacturing,C5,DM,t,Working Day (G),28/02/2025,11:49 PM,09:02 PM,7.86,0.97,0.33,,Leave,Leave
73,44370,44370,Samantha Chavez,P001,Quality,Warranty,C3,Supervisor,t,Working Day (G),10/03/2025,10:30 PM,11:30 AM,6.86,1.8,0.37,,Leave,Leave
74,37223,37223,Cynthia Johnson,P001,Finance,Support,C3,Executive,t,Working Day (G),11/03/2025,04:40 PM,07:55 PM,6.44,0.7,0.78,,Leave,Full Day
75,30657,30657,Crystal Henderson,P005,Production,Warranty,C4,Executive,t,Working Day (G),24/02/2025,01:18 PM,02:28 PM,7.19,1.69,0.9,,Absent,Half Day
76,49879,49879,Aaron Brown,P003,Finance,Support,C4,Supervisor,t,Weekend,21/03/2025,09:01 AM,05:55 PM,6.84,0.67,0.58,,Absent Half Day,Half Day
77,47805,47805,Michael Patterson,P003,Production,Warranty,C5,Supervisor,t,Holiday,07/03/2025,04:58 AM,05:06 AM,6.8,1.01,0.28,,Leave,Leave
78,41585,41585,Danielle Williams,P001,HR,Manufacturing,C2,Engineer,t,Working Day (G),10/03/2025,04:06 AM,09:33 PM,7.71,1.93,0.94,,Absent,Full Day
79,32595,32595,Carrie Gonzalez,P005,IT,Recruitment,C3,Supervisor,t,Holiday,04/03/2025,09:03 AM,07:17 AM,7.7,1.47,0.71,,Leave,Half Day
80,30565,30565,Taylor Lee,P004,Quality,Recruitment,C4,Manager,t,Weekend,24/02/2025,09:06 AM,07:55 PM,8.91,1.26,0.48,,Absent Half Day,Full Day
81,42975,42975,Michael Johnson,P002,Quality,Warranty,C5,Engineer,t,Holiday,05/03/2025,06:24 AM,09:35 PM,8.91,1.15,0.8,,Leave,Half Day
82,34380,34380,Angela Park,P004,HR,Warranty,C1,Manager,t,Holiday,18/03/2025,12:57 PM,02:07 PM,7.77,0.38,0.38,,Absent,Half Day
83,36578,36578,Judith White,P001,IT,Support,C5,Engineer,t,Working Day (G),18/03/2025,08:18 AM,12:10 AM,7.12,0.65,0.58,,Absent Half Day,Full Day
84,38931,38931,James Davis,P001,Quality,Manufacturing,C4,Engineer,t,Working Day (G),16/03/2025,02:52 PM,07:03 AM,7.42,1.34,0.47,,Absent,Leave
85,40583,40583,David Williams,P003,Production,Support,C1,Engineer,t,Working Day (G),12/03/2025,06:13 PM,04:33 AM,8.72,0.94,0.57,,Present,Half Day
86,40080,40080,Michael Thomas,P001,Production,Recruitment,C5,Manager,t,Weekend,24/03/2025,06:09 PM,01:04 PM,8.32,1.61,0.76,,Present,Full Day
87,49601,49601,Mark Howell,P002,IT,Manufacturing,C2,Supervisor,t,Weekend,11/03/2025,06:56 PM,07:50 PM,6.01,1.62,0.12,,Absent Half Day,Full Day
88,46546,46546,Tracey Hansen,P005,HR,Accounting,C1,Engineer,t,Working Day (G),10/03/2025,09:23 AM,12:31 AM,7.5,0.89,0.75,,Leave,Leave
89,44339,44339,Gregory Huerta,P005,Finance,Recruitment,C4,Executive,t,Weekend,23/03/2025,04:52 PM,03:22 PM,8.38,1.12,0.55,,Present,Full Day
90,32383,32383,Kyle Lopez,P001,Quality,Manufacturing,C2,Supervisor,t,Weekend,03/03/2025,06:17 PM,09:56 PM,7.91,1.9,0.96,,Absent Half Day,Half Day
91,44882,44882,Michael Patterson,P003,Finance,Recruitment,C4,DM,t,Working Day (G),17/03/2025,01:54 PM,03:02 PM,7.38,0.05,0.07,,Absent Half Day,Full Day
92,45455,45455,Gina Garcia,P002,Quality,Manufacturing,C2,Executive,t,Working Day (G),06/03/2025,04:53 AM,07:55 AM,8.53,1.08,0.9,,Present,Leave
93,32398,32398,Robert Dudley,P002,Finance,Support,C3,Engineer,t,Holiday,24/03/2025,06:48 PM,07:33 AM,6.47,0.55,0.09,,Leave,Half Day
94,34649,34649,Sylvia Rodriguez,P003,Production,Support,C3,Manager,t,Working Day (G),28/02/2025,01:21 AM,03:46 PM,8.27,1.67,0.98,,Absent,Leave
95,32248,32248,Jennifer Hall,P004,Quality,Support,C1,Engineer,t,Working Day (G),10/03/2025,02:21 AM,04:34 PM,8.34,1.05,0.77,,Leave,Full Day
96,39955,39955,Brian Morris,P004,HR,Accounting,C4,Manager,t,Working Day (G),15/03/2025,05:05 PM,02:03 AM,6.07,0.21,0.32,,Absent Half Day,Half Day
97,45640,45640,Elijah Gonzalez,P004,Production,Recruitment,C3,Executive,t,Holiday,09/03/2025,11:20 PM,12:27 PM,6.64,1.7,0.45,,Leave,Full Day
98,37721,37721,Kristen Arellano,P002,Finance,Warranty,C5,Engineer,t,Working Day (G),06/03/2025,09:14 AM,09:54 AM,7.55,0.31,0.33,,Present,Half Day
99,41279,41279,Jean Anderson,P003,HR,Support,C4,DM,t,Holiday,27/02/2025,04:15 AM,04:14 AM,8.08,1.29,0.56,,Absent,Full Day
100,32244,32244,Kimberly Taylor,P005,Production,Support,C1,Engineer,t,Working Day (G),15/03/2025,04:11 PM,12:43 PM,7.49,1.95,0.42,,Absent,Half Day
101,37549,37549,Angela Wallace,P004,IT,Manufacturing,C5,Executive,t,Weekend,18/03/2025,12:56 PM,02:39 PM,8.95,0.12,0.81,,Present,Half Day
102,36830,36830,Taylor Fernandez,P001,IT,Manufacturing,C5,Manager,t,Weekend,05/03/2025,01:49 AM,08:45 PM,7.83,1.96,0.33,,Absent Half Day,Full Day
103,39020,39020,Natalie Jackson,P003,Quality,Warranty,C5,DM,t,Weekend,12/03/2025,11:44 AM,06:49 PM,6.16,1.61,0.09,,Absent Half Day,Half Day
104,40582,40582,Travis Williams,P002,HR,Manufacturing,C3,DM,t,Weekend,22/03/2025,09:53 PM,12:00 PM,6.39,1.89,0.18,,Leave,Half Day
105,47113,47113,Joshua Smith,P001,IT,Warranty,C5,DM,t,Weekend,12/03/2025,09:02 AM,06:12 AM,6.15,0.02,0.89,,Present,Leave
106,30656,30656,Elizabeth Thompson,P005,HR,Support,C4,Engineer,t,Working Day (G),25/03/2025,08:37 PM,02:01 PM,7.49,1.22,0.57,,Absent,Full Day
107,33595,33595,Brittany Walker,P003,HR,Manufacturing,C4,Executive,t,Working Day (G),27/02/2025,01:36 AM,09:23 PM,7.28,1.62,0.68,,Leave,Half Day
108,42417,42417,Cindy Rivers,P003,Production,Support,C4,Engineer,t,Working Day (G),15/03/2025,11:00 PM,10:25 AM,8.93,0.29,0.34,,Absent,Half Day
109,38016,38016,Christopher Cruz,P002,IT,Support,C4,Executive,t,Weekend,18/03/2025,05:47 PM,05:15 PM,6.74,1.98,0.11,,Absent Half Day,Full Day
110,39180,39180,Katrina Mcintosh,P005,HR,Accounting,C2,Manager,t,Holiday,13/03/2025,02:07 AM,11:04 PM,8.21,0.67,0.53,,Absent,Full Day
111,34933,34933,Lisa Conner,P001,HR,Support,C3,Supervisor,t,Working Day (G),28/02/2025,07:03 AM,02:52 AM,6.21,1.4,0.29,,Leave,Leave
112,39805,39805,Lori Alvarez,P003,IT,Manufacturing,C1,Executive,t,Working Day (G),25/03/2025,05:31 AM,03:43 PM,8.5,1.9,0.13,,Leave,Leave
113,43089,43089,Steven Kim,P002,Finance,Recruitment,C2,Engineer,t,Weekend,24/02/2025,03:38 PM,12:55 AM,7.55,0.34,0.6,,Absent,Leave
114,43354,43354,Michael Hawkins,P002,Finance,Accounting,C5,DM,t,Holiday,25/03/2025,12:31 PM,01:13 PM,6.49,0.52,0.71,,Absent Half Day,Half Day
115,40753,40753,Maria Hines,P002,Finance,Support,C4,Engineer,t,Working Day (G),08/03/2025,06:22 PM,02:27 AM,7.96,1.92,0.81,,Absent Half Day,Half Day
116,41876,41876,Jacob Lewis,P001,HR,Warranty,C3,Engineer,t,Working Day (G),28/02/2025,05:53 PM,03:06 AM,7.64,0.9,0.83,,Present,Leave
117,47073,47073,Larry Lopez,P002,IT,Recruitment,C2,Engineer,t,Weekend,18/03/2025,06:41 AM,12:12 PM,6.69,0.98,0.71,,Present,Full Day
118,31254,31254,Kim Burton,P001,Quality,Warranty,C5,Manager,t,Weekend,19/03/2025,01:26 PM,09:49 AM,6.26,0.63,0.34,,Absent,Full Day
119,32976,32976,Lisa Summers,P004,Production,Warranty,C4,Executive,t,Holiday,16/03/2025,06:13 AM,05:24 AM,8.9,0.63,0.57,,Leave,Full Day
120,44874,44874,Tyler Ho,P001,Quality,Accounting,C5,Manager,t,Weekend,25/03/2025,09:01 PM,05:25 PM,6.88,1.7,0.12,,Absent,Leave
121,39256,39256,Mary Sanchez,P003,Quality,Recruitment,C5,Executive,t,Holiday,23/03/2025,10:19 AM,12:59 PM,7.66,0.35,0.48,,Present,Half Day
122,37218,37218,Scott Mathis,P001,Finance,Support,C2,DM,t,Holiday,28/02/2025,03:51 AM,06:00 AM,7.5,1.06,0.1,,Present,Half Day
123,33004,33004,Mark White,P003,Production,Manufacturing,C5,Supervisor,t,Working Day (G),12/03/2025,05:19 PM,10:43 AM,6.85,0.29,0.65,,Present,Leave
124,38246,38246,Chelsea Nunez,P003,HR,Recruitment,C2,Executive,t,Working Day (G),12/03/2025,06:56 AM,07:53 PM,6.71,0.13,0.85,,Absent Half Day,Full Day
125,47716,47716,Alan Duncan,P004,IT,Support,C2,Engineer,t,Working Day (G),12/03/2025,06:36 AM,07:14 PM,6.57,0.06,0.14,,Absent Half Day,Leave
126,30220,30220,Christopher Barry,P004,IT,Manufacturing,C4,DM,t,Holiday,25/02/2025,03:03 PM,11:10 AM,7.03,1.65,0.06,,Leave,Leave
127,33424,33424,Wayne Jackson,P004,Quality,Warranty,C2,Manager,t,Weekend,08/03/2025,07:24 PM,12:06 PM,8.08,1.62,0.89,,Absent,Leave
128,35311,35311,Michael Adams,P004,Production,Recruitment,C5,Manager,t,Weekend,15/03/2025,04:58 PM,01:35 AM,8.02,1.57,0.88,,Absent,Full Day
129,38773,38773,Charles Harvey,P003,Quality,Recruitment,C3,Manager,t,Holiday,15/03/2025,01:20 AM,05:44 PM,6.52,1.04,0.59,,Leave,Half Day
130,40717,40717,Philip Miller,P001,Production,Support,C2,Manager,t,Holiday,03/03/2025,03:53 PM,01:09 PM,6.58,1.89,0.72,,Absent,Leave
131,40507,40507,Shannon Robinson,P002,HR,Warranty,C1,Supervisor,t,Weekend,27/02/2025,05:44 PM,12:23 PM,8.25,1.05,0.93,,Present,Full Day
132,32638,32638,Sherry Kim,P003,Production,Recruitment,C3,Supervisor,t,Weekend,18/03/2025,10:49 AM,12:05 AM,8.32,0.55,0.54,,Absent Half Day,Leave
133,30711,30711,Gina Moore,P003,Quality,Warranty,C2,Engineer,t,Holiday,17/03/2025,10:15 PM,12:49 AM,6.62,0.36,0.87,,Present,Half Day
134,49254,49254,Kyle Ball,P002,Finance,Manufacturing,C4,Supervisor,t,Weekend,21/03/2025,12:52 AM,04:44 AM,7.13,1.5,0.02,,Absent,Leave
135,37664,37664,Matthew Page,P002,Finance,Support,C2,Manager,t,Working Day (G),13/03/2025,03:52 PM,04:14 PM,8.95,1.83,0.78,,Present,Half Day
136,41508,41508,Christopher Washington,P004,Quality,Accounting,C2,Engineer,t,Working Day (G),11/03/2025,02:35 PM,12:44 AM,8.68,0.55,0.65,,Leave,Full Day
137,35257,35257,Terri Montes,P005,Finance,Recruitment,C2,Executive,t,Weekend,06/03/2025,07:35 PM,10:56 PM,8.75,0.06,0.67,,Absent Half Day,Full Day
138,47357,47357,Alan Molina,P002,Quality,Warranty,C1,DM,t,Holiday,04/03/2025,09:16 AM,09:16 PM,7.78,0.83,0.3,,Absent,Full Day
139,32806,32806,Adam Sanchez,P003,Quality,Accounting,C5,Manager,t,Weekend,18/03/2025,05:26 PM,07:23 AM,7.75,1.37,0.49,,Present,Full Day
140,39282,39282,Jessica Sanchez,P005,Quality,Manufacturing,C5,Manager,t,Holiday,27/02/2025,07:16 AM,10:44 PM,8.61,1.05,0.36,,Present,Full Day
141,32325,32325,Nathaniel Ford,P001,HR,Accounting,C2,DM,t,Working Day (G),17/03/2025,09:12 PM,05:11 AM,8.3,0.7,0.38,,Present,Leave
142,30681,30681,Alicia Ingram,P001,Quality,Accounting,C2,Executive,t,Holiday,03/03/2025,01:30 AM,11:46 AM,8.15,1.46,0.58,,Leave,Half Day
143,48822,48822,Michelle Schmidt,P001,Production,Accounting,C2,Supervisor,t,Weekend,03/03/2025,05:20 AM,05:28 AM,8.11,1.53,0.51,,Absent Half Day,Leave
144,45076,45076,Jesse Figueroa,P002,Quality,Accounting,C4,Executive,t,Weekend,24/03/2025,11:24 AM,05:29 AM,6.43,0.8,0.95,,Absent Half Day,Half Day
145,31646,31646,Stephanie Trevino,P001,Production,Manufacturing,C4,Manager,t,Holiday,27/02/2025,02:34 AM,02:29 PM,6.85,0.37,0.91,,Absent Half Day,Half Day
146,42075,42075,Trevor Reeves,P004,Finance,Recruitment,C4,Executive,t,Working Day (G),10/03/2025,04:26 AM,03:22 PM,8.81,0.66,0.04,,Present,Half Day
147,33530,33530,Stephanie Green,P003,Finance,Warranty,C1,Manager,t,Working Day (G),25/02/2025,10:20 PM,09:53 AM,8.44,1.84,0.36,,Absent,Leave
148,33278,33278,Andrea Ford,P004,IT,Manufacturing,C3,DM,t,Holiday,08/03/2025,09:14 AM,09:10 AM,7.03,1.08,0.39,,Absent Half Day,Leave
149,41903,41903,David Smith,P004,Production,Support,C4,Supervisor,t,Weekend,14/03/2025,02:44 PM,02:57 AM,8.38,1.57,0.54,,Present,Full Day
150,38480,38480,Beth Simpson,P005,HR,Recruitment,C3,DM,t,Weekend,24/02/2025,07:13 AM,06:17 PM,6.87,1.65,0.82,,Absent Half Day,Half Day
151,41624,41624,Daniel West,P002,IT,Support,C1,Engineer,t,Working Day (G),07/03/2025,01:14 PM,04:14 AM,7.38,1.0,0.14,,Absent,Half Day
152,31131,31131,Antonio Brown,P004,HR,Accounting,C2,Executive,t,Working Day (G),02/03/2025,08:21 PM,03:50 PM,8.35,1.21,0.53,,Absent,Leave
153,36067,36067,Daniel Allen,P001,Quality,Support,C1,Executive,t,Weekend,24/02/2025,02:55 AM,08:28 PM,6.15,1.22,0.19,,Present,Half Day
154,41787,41787,Susan Lin,P005,HR,Accounting,C4,Supervisor,t,Weekend,03/03/2025,07:32 AM,02:51 PM,7.72,0.36,0.77,,Absent Half Day,Half Day
155,36151,36151,Andrew Cunningham,P004,HR,Accounting,C5,Engineer,t,Working Day (G),19/03/2025,02:58 AM,08:31 PM,7.78,1.89,0.53,,Leave,Leave
156,49791,49791,Stephanie Moore,P003,Production,Recruitment,C5,Manager,t,Holiday,28/02/2025,10:25 AM,10:44 AM,8.9,1.95,0.96,,Leave,Full Day
157,44567,44567,Francis Montgomery,P001,Finance,Manufacturing,C3,Executive,t,Holiday,19/03/2025,12:43 PM,05:52 AM,7.88,1.0,0.86,,Present,Half Day
158,41104,41104,Ryan Camacho,P003,Finance,Accounting,C3,DM,t,Working Day (G),10/03/2025,04:26 AM,01:35 AM,8.88,1.38,0.17,,Absent,Full Day
159,32677,32677,Eric Smith,P002,Finance,Accounting,C4,Manager,t,Holiday,23/03/2025,10:12 AM,12:35 AM,7.27,0.29,0.1,,Absent,Half Day
